,,basket ball,jog,kettle ball,skipping,stairs
Gyro Y (°/s)_leg,std,21.372678863329842,230.953680900472,12.628715257794505,213.37406818232856,175.401772952085
Gyro Y (°/s)_leg,min,-422.82749675745794,-804.4861524376288,-155.55046921492314,-1723.0182345311664,-1124.3762874799727
Gyro Y (°/s)_leg,25%,-4.303044174868319,-148.59235523002963,-6.134126802471883,-82.27664606698704,-80.00305180437925
Gyro Y (°/s)_leg,50%,-0.8850232700083325,44.40375371938649,-0.7019150072480898,-0.9460593575952316,16.693369954985886
Gyro Y (°/s)_leg,75%,2.5940337224383256,156.7406729228655,4.058899824521177,66.010528725109,111.23826962691692
Gyro Y (°/s)_leg,max,218.72281986724647,650.7362478065156,95.06370641641888,1557.7325093461511,980.5752651255057
Gyro Z (°/s)_leg,count,28218.0,37763.0,18445.0,9003.0,48644.0
Gyro Z (°/s)_leg,mean,-0.6936976957184356,-6.042537920783742,-0.46303872149499054,-1.4307074519322518,1.521268395749356
Gyro Z (°/s)_leg,std,7.5440810697852365,62.05849242822162,5.789478465733468,67.01337064096026,63.19522131590148
Gyro Z (°/s)_leg,min,-194.43045700770585,-577.7370870527201,-79.43846799420156,-447.1198596169986,-646.036469062333
Gyro Z (°/s)_leg,25%,-2.2888532845045115,-39.39879453727031,-2.410925459678083,-25.60463874265656,-25.787747005416804
Gyro Z (°/s)_leg,50%,-0.8239871824216607,-2.166781109330941,-0.5188067444876197,0.4577706569009479,-1.8005645838102282
Gyro Z (°/s)_leg,75%,0.9460593575952316,23.83459220263967,1.4953841458761872,25.75722896162347,24.13977264057371
Gyro Z (°/s)_leg,max,137.72793163958204,287.0832379644462,106.23331044480074,452.9793240253303,576.3942931258108
Accel X (g)_hand,count,28218.0,37763.0,18445.0,9003.0,48644.0
Accel X (g)_hand,mean,-0.2940661509692629,-0.07164200606004562,-0.28315679422634016,-0.49665669203235424,-0.5370655211998363
Accel X (g)_hand,std,0.7235440994718335,1.01400078515453,0.7251989923641113,0.8749613921305713,0.7055070799994074
Accel X (g)_hand,min,-4.0,-4.0,-2.396215762569619,-4.0,-3.6179140917067216
Accel X (g)_hand,25%,-0.8078126192111084,-0.7274891279468987,-0.9364766918440526,-0.9972075989929046,-0.985671778439002
Accel X (g)_hand,50%,-0.36578927290760666,-0.08245975432974761,-0.3306324864576182,-0.4424505989166097,-0.6905622949568935
Accel X (g)_hand,75%,0.17099259937438038,0.6314793621728851,0.3294117647058821,0.12378118562600093,-0.16253910124361015
Accel X (g)_hand,max,4.0,3.6809033340962847,1.9134203097581448,2.7211718928816664,2.2000457770656903
Accel Y (g)_hand,count,28218.0,37763.0,18445.0,9003.0,48644.0
Accel Y (g)_hand,mean,0.4135716827378213,0.2858015213406057,0.2582948450461631,0.40539953108210475,0.306529676259856
Accel Y (g)_hand,std,0.6410167469330081,0.700962230927708,0.3067081210042536,0.9833351035534887,0.5016649829711035
Accel Y (g)_hand,min,-4.0,-4.0,-2.6003204394598307,-4.0,-1.9862973983367669
Accel Y (g)_hand,25%,0.2944075684748606,-0.1727931639581901,0.13739223315785498,-0.2155184252689404,0.1541161211566342
Accel Y (g)_hand,50%,0.5084916456855115,0.3184252689402607,0.3065842679484243,0.4020447089341577,0.3771419851987492
Accel Y (g)_hand,75%,0.6984054322117954,0.6900129701686124,0.4558785381857025,0.9832913710231176,0.5792935072861827
Accel Y (g)_hand,max,3.9075913633936072,3.5350270847638665,3.4757000076295115,3.997436484321355,3.542595559624628
Accel Z (g)_hand,count,28218.0,37763.0,18445.0,9003.0,48644.0
Accel Z (g)_hand,mean,-0.4738731612758297,-0.9555712102999526,-0.4907194657778793,-0.4994881753215684,-0.351764928098682
Accel Z (g)_hand,std,0.470752945886706,0.9393638124285315,0.29133422133004694,0.7947034842385131,0.3685505267010732
Accel Z (g)_hand,min,-3.2425421530479897,-4.0,-2.8287174792095824,-3.878171969176776,-3.0600442511634998
Accel Z (g)_hand,25%,-0.7804684519722285,-1.5855954833295187,-0.7057602807660031,-0.8725108720531014,-0.5038529030289158
Accel Z (g)_hand,50%,-0.5025711451895933,-0.7357900358587015,-0.5121538109407187,-0.39777218280308224,-0.2820477607385365
Accel Z (g)_hand,75%,-0.2450598916609445,-0.2078278782330054,-0.2807049668116273,0.0008545052262149966,-0.1249408712901503
Accel Z (g)_hand,max,3.0511329823758286,1.1729304951552608,1.3568932631418322,4.0,0.9427023727779053
Gyro X (°/s)_hand,count,28218.0,37763.0,18445.0,9003.0,48644.0
Gyro X (°/s)_hand,mean,2.508951345755896,9.740854810422805,1.366266927033784,53.66598509532706,2.1455695506462593
Gyro X (°/s)_hand,std,105.37396153879985,86.34545225039234,42.94384010987306,169.09150382742274,72.15385925823043
Gyro X (°/s)_hand,min,-974.9599450675212,-1100.3891050583657,-475.6237125200275,-590.6157015335316,-526.8940260929273
Gyro X (°/s)_hand,25%,-28.351262684061798,-33.72243839169914,-22.8580148012511,-41.840238040741724,-40.436408026245545
Gyro X (°/s)_hand,50%,2.5329976348516543,7.904173342488775,2.349889372091184,24.689097428854666,1.3733119707026162
Gyro X (°/s)_hand,75%,32.867933165483926,59.93743801022333,26.886396581978946,119.2950331883726,44.037537193865774
Gyro X (°/s)_hand,max,1123.704890516518,613.9925230792704,301.60982681010137,953.8414587624934,756.5728236820019
Gyro Y (°/s)_hand,count,28218.0,37763.0,18445.0,9003.0,48644.0
Gyro Y (°/s)_hand,mean,7.056931536151708,-2.2723266845104275,0.3530943457795705,28.306070352633142,1.2062557322104182
